job_id,label,Nz,seed,pAxlo,pAxhi,pAylo,pAyhi,pBxlo,pBxhi,pBylo,pByhi
1,R2_S2.5_d1,48,78901,0,2.5,0,2.5,1,3.5,1,3.5
2,R2_S2.5_d1,48,91234,0,2.5,0,2.5,1,3.5,1,3.5
3,R2_S2.5_d1,48,11111,0,2.5,0,2.5,1,3.5,1,3.5
4,SZhi_S4.5_Nz72,72,12345,0,4.5,0,4.5,2,6.5,2,6.5
5,SZhi_S4.5_Nz72,72,34567,0,4.5,0,4.5,2,6.5,2,6.5
6,SZhi_S4.5_Nz96,96,12345,0,4.5,0,4.5,2,6.5,2,6.5
7,SZhi_S4.5_Nz96,96,34567,0,4.5,0,4.5,2,6.5,2,6.5
8,SZlo_S2_Nz72,72,12345,0,2,0,2,2,4,2,4
9,SZlo_S2_Nz72,72,34567,0,2,0,2,2,4,2,4
10,SZlo_S2_Nz96,96,12345,0,2,0,2,2,4,2,4
